role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Git, Cloud"
Backend Developer,"Java, Python, SQL, APIs, Data Structures, Algorithms, Git"
Frontend Developer,"JavaScript, React, CSS, HTML, UI Design, Git, TypeScript"
Cloud Architect,"AWS, Azure, Cloud, Kubernetes, Networking, Security, Automation"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Data Structures, Statistics, Algorithms"
Data Analyst,"SQL, Excel, Data Analysis, Statistics, Python, Visualization"
Full Stack Developer,"JavaScript, Python, React, SQL, APIs, Git, Node"
Site Reliability Engineer,"Linux, Automation, Kubernetes, Monitoring, Cloud, CI/CD, Python"
Database Administrator,"SQL, Database Design, Security, Backup, Linux, Performance Tuning"
AI Research Engineer,"Python, Machine Learning, Statistics, Algorithms, Research, TensorFlow, PyTorch"
Security Engineer,"Security, Networking, Linux, Cloud, Automation, Cryptography"
Mobile App Developer,"Java, Kotlin, Swift, UI Design, APIs, Git, Mobile"
QA Automation Engineer,"Automation, Python, Java, Testing, CI/CD, Git"
Systems Administrator,"Linux, Networking, Security, Automation, Cloud, Monitoring"
